WL,Sun,Shade
498,5.936756381,0.1357811388
499,5.9218106688,0.1352754418
500,5.8963118462,0.1343306636
501,5.8867538953,0.133494653
502,5.8912509666,0.1331923306
503,5.8925985715,0.1329145048
504,5.9155396253,0.1331799914
505,5.9461859757,0.1337484822
506,5.9872517427,0.1344636106
507,6.0201951451,0.1352253591
508,6.0376550326,0.1358283843
509,6.0583116568,0.1363551045
510,6.0841201653,0.1367178795
511,6.0838411116,0.1368025259
512,6.0705457684,0.1366460907
513,6.0372712217,0.1363273458
514,5.9908706997,0.1355657309
515,5.9315366168,0.1344540041
516,5.8722226369,0.1333933885
517,5.8312055365,0.1328299091
518,5.8085000475,0.1327469309
519,5.8142428175,0.1334379408
520,5.8595608038,0.1349888405
521,5.9149979686,0.1367698626
522,6.0004713166,0.1392912874
523,6.0672245139,0.1412863629
524,6.1239263924,0.1431921067
525,6.1630376305,0.1448075035
526,6.1890960664,0.145939207
527,6.2237538494,0.147166777
528,6.2587212469,0.1484049806
529,6.3081033856,0.1497977604
530,6.3441073341,0.1513101292
531,6.3899925099,0.1527748893
532,6.435105909,0.1542980456
533,6.476780468,0.155580959
534,6.5085424365,0.1564651435
535,6.5417130631,0.1573558317
536,6.5599882589,0.1579355321
537,6.5683483656,0.1583289693
538,6.5842219761,0.1584917729
539,6.593553477,0.1581961518
540,6.5702899403,0.1578353941
541,6.5591309445,0.1574073712
542,6.5451864111,0.1568475245
543,6.5413013378,0.1564568046
544,6.5439356183,0.1563512747
545,6.5500654923,0.1560873943
546,6.5522518925,0.1559133447
547,6.5575720915,0.1557724112
548,6.552575706,0.1556003334
549,6.570186387,0.1557737311
550,6.5948973194,0.1558767757
551,6.6094233607,0.1561271103
552,6.6297258866,0.1564435042
553,6.654435182,0.1567985382
554,6.666056991,0.1571432632
555,6.6733460148,0.1569662467
556,6.6940616211,0.1567176026
557,6.6883272599,0.1561330951
558,6.7024368087,0.1559435815
559,6.5830913292,0.1524957315
560,6.590538229,0.1520464401
561,6.5883822756,0.1513272188
562,6.6192905082,0.1509214927
563,6.6205451712,0.1505531203
564,6.6400724822,0.1499655697
565,6.6647297219,0.14939922
566,6.67346181,0.1484577697
567,6.6735980825,0.1477608998
568,6.6671402316,0.1465683571
569,6.6725427147,0.14550886
570,6.6662817425,0.1443368161
571,6.6870657323,0.1434612275
572,6.7080517676,0.1427480232
573,6.7226007709,0.1422923903
574,6.738769279,0.1417871189
575,6.7671941178,0.1409216532
576,6.7766928784,0.1400450242
577,6.7872020538,0.1396356513
578,6.8085407292,0.1389234808
579,6.8185957786,0.1384720323
580,6.8487714933,0.138323191
