TrID,TrayNotes,TrayTypeName,Position,PlantID,PlantName,PlantNotes
Pr#2013-0012_Exp#0001_Ath_Tr#00006,0,standard,B2,2416,39:16x4_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00006,0,standard,B3,2521,74:6x131_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00006,0,standard,B4,2557,86:Cvi-1_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00006,0,standard,B5,2347,16:118x164_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00006,0,standard,C1,2305,2:cvi self_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00006,0,standard,C2,2344,15:118x108_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00006,0,standard,C3,2332,11:114x3_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00006,0,standard,C4,2515,72:55x18_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00006,0,standard,C5,2335,12:110x32_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00006,0,standard,D1,2512,71:54x183_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00006,0,standard,D2,2494,65:48x160_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00006,0,standard,D3,2467,56:24x171_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00006,0,standard,D4,2302,1:Col-0_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00006,0,standard,D5,2497,66:49x158_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00007,0,standard,A1,2365,22:133x35_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00007,0,standard,A2,2554,85:Stn8-1_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00007,0,standard,A3,2386,29:146x64_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00007,0,standard,A4,2320,7:145x105_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00007,0,standard,A5,2314,5:101x176_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00007,0,standard,B1,2452,51:19x67_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00007,0,standard,B2,2464,55:20x138_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00007,0,standard,B3,2398,33:150x37_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00007,0,standard,B4,2530,77:8x61_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00007,0,standard,B5,2545,82:npq1_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00007,0,standard,C1,2407,36:153x20_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00007,0,standard,C2,2443,48:186x27_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00007,0,standard,C3,2563,88:Spare1_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00007,0,standard,C4,2368,23:134x29_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00007,0,standard,C5,2518,73:59x116_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00008,0,standard,A1,2327,10:109x48_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00008,0,standard,A2,2492,65:48x160_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00008,0,standard,A3,2477,60:38x35_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00008,0,standard,A4,2393,32:149x165_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00008,0,standard,A5,2516,73:59x116_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00008,0,standard,B1,2345,16:118x164_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00008,0,standard,B2,2363,22:133x35_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00008,0,standard,B3,2381,28:14x4_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00008,0,standard,B4,2441,48:186x27_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00008,0,standard,B5,2507,70:51x18_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00008,0,standard,C1,2552,85:Stn8-1_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00008,0,standard,C2,2468,57:15x9_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00008,0,standard,C3,2480,61:39x27_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00008,0,standard,C4,2528,77:8x61_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00008,0,standard,C5,2486,63:45x23_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00008,0,standard,D1,2531,78:ler self_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00008,0,standard,D2,2300,1:Col-0_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00008,0,standard,D3,2546,83:npq4_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00008,0,standard,D4,2330,11:114x3_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00008,0,standard,D5,2567,90:Spare3_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00009,0,standard,A1,2339,14:115x12_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00009,0,standard,A2,2501,68:5x188_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00009,0,standard,A3,2462,55:20x138_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00009,0,standard,A4,2354,19:125x117_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00009,0,standard,A5,2510,71:54x183_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00009,0,standard,B1,2342,15:118x108_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00009,0,standard,B2,2555,86:Cvi-1_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00009,0,standard,B3,2495,66:49x158_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00009,0,standard,B4,2420,41:16x7_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00009,0,standard,B5,2399,34:152x42_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00009,0,standard,C1,2369,24:135x10_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00009,0,standard,C2,2489,64:46x29_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00009,0,standard,C3,2447,50:19x173_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00009,0,standard,C4,2309,4:10x26_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00009,0,standard,C5,2525,76:63x151_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00009,0,standard,D1,2378,27:139x36_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00009,0,standard,D2,2435,46:174x34_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00009,0,standard,D3,2384,29:146x64_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00009,0,standard,D4,2549,84:pgr5_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00009,0,standard,D5,2324,9:18x109_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00010,0,standard,A1,2459,54:192x189_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00010,0,standard,A2,2504,69:51x111_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00010,0,standard,A3,2438,47:180x157_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00010,0,standard,A4,2426,43:168x22_R1,0
Pr#2013-0012_Exp#0001_Ath_Tr#00010,0,standard,A5,2390,31:147x69_R1,0
